Lab_number,Assay_number,Titre
1,1,64
2,1,64
3,1,8
4a,1,8
4b,1,16
5,1,8
6,1,4
7a,1,64
7b,1,32
8,1,64
9,1,16
10,1,128
11,1,32
12,1,32
13,1,32
14,1,2
15,1,8
16,1,32
17a,1,32
17b,1,16
18a,1,128
18b,1,16
19,1,16
20,1,32
21,1,8
22,1,16
23,1,2
1,2,64
2,2,32
3,2,16
4a,2,8
4b,2,16
5,2,16
6,2,2
7a,2,64
7b,2,32
8,2,64
9,2,128
10,2,128
11,2,NA
12,2,4
13,2,32
14,2,16
15,2,4
16,2,32
17a,2,16
17b,2,8
18a,2,64
18b,2,32
19,2,16
20,2,32
21,2,8
22,2,16
23,2,4
20,3,32
20,4,32
